At exam time, it is important to sleep well.	En época de exámenes es importante dormir bien.	[sound:A1_A_good_nights_sleep_Line_0001.mp3]
Today we have Dr. Baker with us in the studio,	Hoy tenemos al Dr. Baker con nosotros en el estudio,	[sound:A1_A_good_nights_sleep_Line_0002.mp3]
and he is going to give us five top tips for getting a good night's sleep.	y nos va a dar cinco consejos importantes para dormir bien por la noche.	[sound:A1_A_good_nights_sleep_Line_0003.mp3]
Welcome to the show, Dr. Baker.	Bienvenido al espectáculo, Dr. Baker.	[sound:A1_A_good_nights_sleep_Line_0004.mp3]
Thank you. It's great to be here.	Gracias. Es genial estar aquí.	[sound:A1_A_good_nights_sleep_Line_0005.mp3]
Let's start with tip one.	Comencemos con el consejo uno.	[sound:A1_A_good_nights_sleep_Line_0006.mp3]
Don't go to bed with the television on.	No te acuestes con la televisión encendida.	[sound:A1_A_good_nights_sleep_Line_0007.mp3]
Some people think they can sleep well with the TV on,	Algunas personas creen que pueden dormir bien con la televisión encendida,	[sound:A1_A_good_nights_sleep_Line_0008.mp3]
but the noise and the lights mean you don't really sleep well.	pero el ruido y las luces hacen que no duermas bien.	[sound:A1_A_good_nights_sleep_Line_0009.mp3]
So turn it off.	Así que apágalo.	[sound:A1_A_good_nights_sleep_Line_0010.mp3]
Tip two: Don't think too much before bedtime.	Consejo dos: no pienses demasiado antes de acostarte.	[sound:A1_A_good_nights_sleep_Line_0011.mp3]
Do your hardest homework earlier in the evening.	Haz tu tarea más difícil más temprano en la noche.	[sound:A1_A_good_nights_sleep_Line_0012.mp3]
Do easier homework later.	Haz la tarea más fácil más tarde.	[sound:A1_A_good_nights_sleep_Line_0013.mp3]
If your brain is too busy and full of ideas, it takes longer to get to sleep.	Si tu cerebro está demasiado ocupado y lleno de ideas, tardarás más en conciliar el sueño.	[sound:A1_A_good_nights_sleep_Line_0014.mp3]
Tip three: Don't play video games for an hour before you go to sleep.	Consejo tres: no juegues videojuegos durante una hora antes de irte a dormir.	[sound:A1_A_good_nights_sleep_Line_0015.mp3]
They also make your brain too busy and active.	También hacen que tu cerebro esté demasiado ocupado y activo.	[sound:A1_A_good_nights_sleep_Line_0016.mp3]
Tip four: Turn off your cell phone when you go to bed.	Consejo cuatro: apaga tu teléfono celular cuando te vayas a dormir.	[sound:A1_A_good_nights_sleep_Line_0017.mp3]
What is so important that it can't wait until the morning?	¿Qué es tan importante que no puede esperar hasta la mañana?	[sound:A1_A_good_nights_sleep_Line_0018.mp3]
If possible, leave your phone in another room.	Si es posible, deja tu teléfono en otra habitación.	[sound:A1_A_good_nights_sleep_Line_0019.mp3]
Tip five: Play music if you like.	Consejo cinco: reproduce música si quieres.	[sound:A1_A_good_nights_sleep_Line_0020.mp3]
But don't play it too loud.	Pero no lo pongas demasiado alto.	[sound:A1_A_good_nights_sleep_Line_0021.mp3]
Turn the sound down low.	Baje el sonido.	[sound:A1_A_good_nights_sleep_Line_0022.mp3]
Thank you, Doctor.	Gracias doctora.	[sound:A1_A_good_nights_sleep_Line_0023.mp3]
That is very useful advice for our young listeners.	Se trata de un consejo muy útil para nuestros jóvenes oyentes.	[sound:A1_A_good_nights_sleep_Line_0024.mp3]
This recording was brought to you by the British Council.	Esta grabación fue presentada por el British Council.	[sound:A1_A_good_nights_sleep_Line_0025.mp3]
To find others like it, visit www.britishcouncil.org/ learnenglishteens.	Para encontrar otros similares, visite www.britishcouncil.org/learnenglishteens.	[sound:A1_A_good_nights_sleep_Line_0026.mp3]
